user_id,item_id
24839442,113342279
51121397,257466489
22496560,19051406
46495539,40815949
131312966,259491051
100424208,12376117
82531656,147580805
39936758,101753768
3762752,315000136
47216621,102667839
84270583,295638895
22994645,191467754
14306251,230563634
95280402,270118183
83635059,369796783
136482190,82396918
116225160,195623224
70412049,80922949
42977680,162328228
74158682,289343653
75695028,140522918
4707609,378400404
82860078,185641384
31741926,83824089
3873034,236709522
94376746,74008705
32345386,11637457
54574235,256692739
115232626,63180233
123337404,10052189
53016665,216831269
69387053,124864458
53016665,107860589
119461584,347334715
123053379,211953653
24045086,367954158
25800428,137616700
73490341,355591265
76214743,265890307
135809294,196516706
39936758,377908789
103969132,120199181
73331581,190320503
98330735,197767230
108283906,24411184
60298546,97508632
57817053,125979665
51160991,294454727
107542981,294173567
34937456,85854990
4423839,132913232
52046047,328715502
41866258,294264177
93355152,1046852
20519542,203184121
5096381,27628281
110422419,127348102
114283742,169560754
77262460,348414828
53016665,389242167
120736960,225518902
84270583,171997348
16847478,392919414
58065859,353272920
28836058,200023139
22496560,139234406
50538209,380758613
51112461,296738766
53016665,184314818
52446250,211205769
15350277,31576333
15040272,305908325
48820780,392026213
72395472,81853872
63643294,54748438
82378875,61772520
57817053,240599219
53016665,62954417
95492699,142221114
44939837,162962647
29608942,207449114
70412049,153232233
103969132,68194897
103969132,80573049
53616158,5087984
66899098,234632855
131228215,210738577
33918143,124035773
38150165,186117790
28836058,226916215
73244758,15793652
108426355,201559061
60371446,307792517
97346985,93636495
103969132,304812456
40523696,270471096
41858386,74686064
130496816,45685581
130637943,91155558
65455483,115640509
57334064,120136077
109122076,113037945
24839442,223608275
41866258,117220621
100326566,10279417
63643294,214714835
55427335,76764707
66983676,147986728
47636434,108258772
23130068,70553968
76123992,43318816
66258086,308762132
66772845,169403856
65455483,83013703
29608942,55698517
13715846,254520974
111509432,394815555
4904673,252371770
43392301,378288372
138824382,177749602
84879940,322217710
98609058,179899492
116923816,384338137
33918143,27371755
83772729,63223214
76214743,302983277
1017622,259340506
46372358,398344266
15040272,343740133
31462872,173658453
108237848,317122686
59348943,216635875
83772729,272531930
40297927,292789931
121320202,3892822
70819814,166710960
84193620,325605041
28769511,204463248
44939837,372967699
120736960,142654607
129449164,260996452
82378875,361586057
135791933,248312527
60371446,374540654
5096381,155340650
34024423,356698910
120736960,181090484
103969132,160983993
40523696,341979457
44939837,175151965
110422419,212011735
85235720,74684780
103348019,237807953
95280402,205863379
110422419,40756031
2642753,120611416
90342802,128581454
41287085,147868189
96306125,155112445
3762752,114424986
120736960,91500364
107808763,46589158
77646698,37569625
75583025,338769085
44939837,382903493
24839442,56156230
120408978,148776454
86927679,94950639
129077923,286087469
124648234,401808902
69288209,118121784
33413979,145511292
104568145,143799673
87780704,43662247
46823994,69679364
46576158,388630421
113084604,50824645
3781049,321886986
22090676,129997389
74261240,292323204
102041361,343348825
124169015,108420210
36248161,207794585
98295322,183385466
116923816,103365534
51160991,51300425
15350277,275547489
139264243,70962239
51816656,95631483
46495539,46574583
40297927,314944437
41866258,284061526
37963790,9182901
60371446,326811688
138059156,180519153
41866258,246143333
24839442,47806307
63556787,37537515
135514874,68787528
13715846,347280099
1726290,345001249
106490158,122541703
141783144,34623217
40297927,247823703
99652355,380584031
109369720,400592167
5224199,123381389
120736960,265213268
103020279,289364929
24045086,271187388
82378875,99909817
83635059,213869624
93563618,196097510
128440836,195271486
66299039,331212270
21449998,331229821
82309815,38705722
45324981,98656648
89819186,184938890
14058841,60779223
109515860,325938147
89394332,345944609
24298420,234196617
54393201,278864866
71618587,198007494
124322312,375702025
131312966,321593539
24839442,228391936
135514874,21889905
101801629,351033901
7805089,323198100
139878830,208943006
139786671,299103352
46129044,150131165
19869572,55935774
40297927,321462387
61973656,228612902
137587571,269976923
40297927,246245950
120736960,318040897
86927679,353381230
4904673,254338701
71193336,385639193
130637943,59677447
66899098,192273685
102689596,283176701
101276517,178780160
12161548,57683000
119276116,175585392
11219229,296835188
60371446,2605295
24839442,60461583
16638700,290418014
58077011,163916545
117488360,161886872
50301733,81392053
126151021,100042614
103969132,258649657
13715846,272772380
94047794,314503541
130637943,376278700
95233036,320025006
60371446,178886375
83635059,377551144
10070648,226063764
107542981,200599054
36641911,399298733
65420807,227887943
93563618,350584622
98260519,242738160
127098592,237857163
125093067,131240872
122131736,310367642
94047794,50181608
135514874,389129871
22402560,62243539
97094915,123631811
51986250,202334778
82378875,128023243
46372358,364443976
112548883,83909755
135460068,259242233
40297927,72427940
69918931,52529775
84270583,343235319
103969132,353811456
56970482,311488490
124343016,277353925
49431085,111195460
103348019,167074648
131312966,263575711
135514874,400234108
15980685,143578040
132859392,317283013
74902831,137454319
61973656,84792842
85235720,145817420
139264243,273621182
58206817,169809056
107879987,312171265
98599208,91960331
72395472,316709993
21449998,95910606
104568145,149956136
137312139,172190842
17366329,267351585
115232626,145758813
86808910,31181628
85832076,392092271
43392301,101791215
88965791,281153545
86927679,350036650
124169015,398284525
123337404,364602983
27296776,298781014
52833705,222565286
99378907,154655287
5096381,228318324
93563618,255426426
104531516,208097193
6597815,225444164
73059824,15183101
122131736,161485475
6597815,300667139
84270583,86734565
53016665,128147900
48771006,22302304
63944386,46480880
84031225,49718239
43743064,395211594
86927679,395758894
25800428,197750965
138824382,279361743
40297927,265341818
57983419,272299109
30607791,71713793
90342802,48501671
83635059,236848918
76130800,18880000
114656315,246443301
35411632,390060332
61973656,45924266
43477769,109717536
129979590,67413136
120736960,211171296
97886398,252765883
78161252,285056870
123337404,310658230
75443727,384285289
3755331,122228281
75583025,3567533
60866435,221268688
109867332,309561575
58077011,117316211
41866258,381920404
43392301,354519855
4423839,240335848
46495539,22655633
74158682,252990863
21449998,116454091
5683524,271573746
70412049,203327750
100945241,115007346
114283742,76256730
39215700,308020131
48197647,180579982
15350277,199242831
